Country,PostalCode
USA,10001
USA,90001
USA,60601
USA,19103
USA,75201
USA,94102
USA,20001
USA,30303
USA,77002
USA,02108
USA,85004
USA,98101
USA,48201
USA,55401
USA,80202
USA,33101
USA,33602
USA,44114
USA,15222
USA,63101
USA,27601
USA,28202
USA,46204
USA,37219
USA,97201
USA,64106
USA,53202
USA,95814
USA,21201
USA,92101
USA,78701
USA,32801
USA,89101
USA,84101
USA,45202
USA,43215
USA,78205
USA,06103
USA,02903
USA,35203
USA,48009
CAN,M5H
CAN,V6B
CAN,H2Y
CAN,T2P
CAN,T5J
CAN,K1P
CAN,R3C
CAN,B3J
CAN,S7K
CAN,S4P
CAN,A1C
GBR,W1A
GBR,M1
GBR,B1
GBR,G1
GBR,L1
GBR,EH1
GBR,LS1
GBR,BS1
GBR,CF10
GBR,BT1
GBR,NE1
GBR,NG1
